Date,Open,High,Low,Close,Volume
2002-03-07,130.0,132.0,130.0,131.5,110330
2002-03-10,135.4,137.5,133.65,134.8,1253096
2002-03-10,39.0,39.0,37.0,37.2,25104
2002-03-10,131.0,133.7,131.0,132.0,190441
2002-03-11,117.95,117.95,117.95,117.95,1
2002-03-11,130.15,130.15,126.75,126.8,24049
2002-03-11,36.7,36.75,35.1,35.2,25752
2002-03-11,135.4,135.55,128.65,129.75,608835
2002-03-12,35.0,37.2,35.0,36.0,32100
2002-03-12,127.0,132.1,127.0,130.35,564254
2002-03-12,108.0,115.0,107.05,108.25,71
2002-03-12,127.0,130.0,127.0,127.55,89141
2002-03-13,31.0,37.2,31.0,35.95,1742
2002-03-13,130.45,132.45,127.8,128.75,365366
2002-03-13,127.75,127.85,125.05,125.95,10550
2002-03-13,129.0,129.0,129.0,129.0,1
2002-03-14,129.8,132.0,128.0,130.05,850147
2002-03-14,127.05,129.4,127.05,129.15,49328
2002-03-14,37.5,38.0,35.5,37.0,15863
2002-03-14,108.0,124.0,108.0,115.0,336
2002-03-17,130.8,143.0,130.25,136.4,1224698
2002-03-17,114.4,114.4,109.5,109.5,2
2002-03-17,37.9,39.0,37.0,37.25,60575
2002-03-18,137.2,138.0,130.25,131.15,540882
2002-03-18,38.0,38.0,36.6,37.0,32900
2002-03-18,106.55,130.0,106.55,119.9,18
2002-03-19,36.0,36.0,34.7,35.25,15590
2002-03-19,132.0,132.0,127.6,128.75,418012
2002-03-20,35.05,35.05,32.65,33.25,19169
2002-03-20,108.05,114.95,108.0,114.95,651
2002-03-20,129.0,130.0,120.75,122.05,1339750
2002-03-21,123.0,124.7,121.6,123.3,930634
2002-03-21,134.0,134.0,134.0,134.0,1
2002-03-21,33.0,33.85,28.1,32.75,18901
2002-03-25,154.0,154.0,108.0,108.2,604
2002-03-25,28.0,35.0,28.0,29.65,8709
2002-03-25,123.0,123.9,117.05,117.45,767578
2002-03-26,34.0,34.0,31.0,31.6,515267
2002-03-26,109.0,109.0,107.25,107.25,752
2002-03-26,118.25,124.4,118.0,123.3,1596039
2002-03-27,123.35,126.85,121.65,126.0,1127133
2002-03-27,31.0,32.0,31.0,31.7,181208
2002-03-27,110.0,110.0,110.0,110.0,12
